date,y_hat,y_real,alpha,signal,signal_prev,cost,pnl
2025-03-06,0.011410336016040532,0.006131119252062546,100.0,1,1.0,0.0,0.006131119252062546
2025-03-07,0.016069124818320405,-0.025069832335233144,100.0,1,1.0,0.0,-0.025069832335233144
2025-03-10,0.01855340278053133,9.34197016982097e-05,100.0,1,1.0,0.0,9.34197016982097e-05
2025-03-11,0.001142291486540404,0.04819885234651063,100.0,1,1.0,0.0,0.04819885234651063
2025-03-12,0.027851045915842355,0.011084024067445993,100.0,1,1.0,0.0,0.011084024067445993
2025-03-13,0.016549667661423115,0.02587785845510764,100.0,1,1.0,0.0,0.02587785845510764
2025-03-14,0.005359257718943071,0.00875583280642798,100.0,1,1.0,0.0,0.00875583280642798
2025-03-17,0.008129278819027332,-0.01288275121169964,100.0,1,1.0,0.0,-0.01288275121169964
2025-03-18,0.007150359831649411,0.01581465157665412,100.0,1,1.0,0.0,0.01581465157665412
2025-03-19,-0.003586300609543159,-0.008288111634961967,100.0,-1,1.0,0.0,-0.008288111634961967
2025-03-20,0.008079018872918323,-0.013505079167773376,100.0,1,-1.0,0.0,0.013505079167773376
2025-03-21,0.006062508392711993,0.01835223119941053,100.0,1,1.0,0.0,0.01835223119941053
2025-03-24,0.008344220125090895,-0.0071086477765780805,100.0,1,1.0,0.0,-0.0071086477765780805
2025-03-25,-0.0005868103748727167,-0.01637325890716633,100.0,-1,1.0,0.0,-0.01637325890716633
2025-03-26,0.0024417210092400254,-0.02141260483339896,100.0,1,-1.0,0.0,0.02141260483339896
2025-03-27,-0.0004824409957572182,0.0005382878210594646,100.0,-1,1.0,0.0,0.0005382878210594646
2025-03-28,-0.00287907875031776,-0.04227818661391645,100.0,-1,-1.0,0.0,0.04227818661391645
2025-03-31,0.009821446784384602,0.0012909120611330385,100.0,1,-1.0,0.0,-0.0012909120611330385
2025-04-01,0.017128516181941986,-0.026307629919230593,100.0,1,1.0,0.0,-0.026307629919230593
2025-04-02,0.008449295770489236,-0.06462301323968983,100.0,1,1.0,0.0,-0.06462301323968983
2025-04-03,-0.0005094269974214899,-0.02879975131798522,100.0,-1,1.0,0.0,-0.02879975131798522
2025-04-04,-0.005945888096083915,-0.07540566715193878,100.0,-1,-1.0,0.0,0.07540566715193878
2025-04-07,0.00894931497259396,0.06127504241340883,100.0,1,-1.0,0.0,-0.06127504241340883
2025-04-08,-0.005394225632629894,0.026539764615682648,100.0,-1,1.0,0.0,0.026539764615682648
2025-04-09,0.03940812117148741,-0.044352365109511536,100.0,1,-1.0,0.0,0.044352365109511536
2025-04-10,0.0022297619347522836,0.008608377373597317,100.0,1,1.0,0.0,0.008608377373597317
2025-04-11,0.011753529111433968,0.02826352629375376,100.0,1,1.0,0.0,0.02826352629375376
2025-04-14,0.006842804965473476,0.002345743910994804,100.0,1,1.0,0.0,0.002345743910994804
2025-04-15,0.0037873578246782834,-0.07061751082522807,100.0,1,1.0,0.0,-0.07061751082522807
2025-04-16,0.005366451392370097,-0.000382893816495383,100.0,1,1.0,0.0,-0.000382893816495383
2025-04-17,0.012328341577491079,-0.02716636947939246,100.0,1,1.0,0.0,-0.02716636947939246
2025-04-21,0.01224279126827538,0.019112392219457677,100.0,1,1.0,0.0,0.019112392219457677
2025-04-22,0.027441874797509543,0.055370293424917304,100.0,1,1.0,0.0,0.055370293424917304
2025-04-23,0.008402291039403691,0.0074689154942363094,100.0,1,1.0,0.0,0.0074689154942363094
2025-04-24,-0.00670238483779894,0.003938472564248637,100.0,-1,1.0,0.0,0.003938472564248637
2025-04-25,-0.0060935292484616335,-0.01196207890757158,100.0,-1,-1.0,0.0,0.01196207890757158
2025-04-28,-0.01968924244270069,-0.009796799062238478,100.0,-1,-1.0,0.0,0.009796799062238478
2025-04-29,-0.010843884530741373,-0.042631360310087726,100.0,-1,-1.0,0.0,0.042631360310087726
2025-04-30,-0.0036137392682065532,0.037481898023396104,100.0,-1,-1.0,0.0,-0.037481898023396104
2025-05-01,0.007588614543526748,0.022765496072640157,100.0,1,-1.0,0.0,-0.022765496072640157
2025-05-02,0.0008502190790766005,-0.013983749367984322,100.0,1,1.0,0.0,-0.013983749367984322
2025-05-05,0.0028012663930938354,-0.020773017767587814,100.0,1,1.0,0.0,-0.020773017767587814
2025-05-06,0.004826250347493602,-0.004324980087318321,100.0,1,1.0,0.0,-0.004324980087318321
2025-05-07,0.008830303882268433,0.010114424364992377,100.0,1,1.0,0.0,0.010114424364992377
2025-05-08,0.012643317669665604,-0.00017045221885930118,100.0,1,1.0,0.0,-0.00017045221885930118
2025-05-09,0.017558816474931325,0.04459711131510164,100.0,1,1.0,0.0,0.04459711131510164
2025-05-12,0.017019618942663146,0.01596939598828405,100.0,1,1.0,0.0,0.01596939598828405
2025-05-13,0.027843644162795503,0.024855947671047804,100.0,1,1.0,0.0,0.024855947671047804
2025-05-14,-0.004353509298406425,-0.007788513147695657,100.0,-1,1.0,0.0,-0.007788513147695657
2025-05-15,-0.006296009118287295,0.01025649554798171,100.0,-1,-1.0,0.0,-0.01025649554798171
2025-05-16,-0.014192699984380351,-0.022481208061199073,100.0,-1,-1.0,0.0,0.022481208061199073
2025-05-19,0.00782407304879254,-0.009486575518866636,100.0,1,-1.0,0.0,0.009486575518866636
2025-05-20,0.006949940834389577,-0.009871507862279824,100.0,1,1.0,0.0,-0.009871507862279824
2025-05-21,-0.0011350682061290417,0.0032571530350352994,100.0,-1,1.0,0.0,0.0032571530350352994
2025-05-22,0.01247723489553393,-0.021535678473777905,100.0,1,-1.0,0.0,0.021535678473777905
2025-05-23,0.012508662441742561,0.02154996556560942,100.0,1,1.0,0.0,0.02154996556560942
2025-05-27,0.015428432915214488,0.0039038003518041247,100.0,1,1.0,0.0,0.0039038003518041247
